t	p	V	L	psi	z
0.00088	16.7481	6.05377	0.00104649	0.0065656	0.0065656
0.00089	16.9783	6.26024	0.00110806	0.00669502	0.00669502
0.0009	17.2116	6.46954	0.00117171	0.00682621	0.00682621
0.00091	17.448	6.68171	0.00123746	0.00695921	0.00695921
0.00092	17.6875	6.8968	0.00130535	0.00709403	0.00709403
0.00093	17.9303	7.11484	0.00137541	0.0072307	0.0072307
0.00094	18.1762	7.33587	0.00144766	0.00736925	0.00736925
0.00095	18.4254	7.55993	0.00152213	0.00750969	0.00750969
0.00096	18.678	7.78707	0.00159887	0.00765207	0.00765207
0.00097	18.9339	8.01732	0.00167788	0.00779639	0.00779639
0.00098	19.1931	8.25072	0.00175922	0.00794269	0.00794269
0.00099	19.4559	8.48731	0.00184291	0.00809099	0.00809099
0.001	19.722	8.72715	0.00192898	0.00824133	0.00824133
0.00101	19.9917	8.97026	0.00201746	0.00839372	0.00839372
0.00102	20.265	9.2167	0.0021084	0.00854819	0.00854819
0.00103	20.5418	9.46651	0.00220181	0.00870477	0.00870477
0.00104	20.8223	9.71973	0.00229774	0.00886349	0.00886349
0.00105	21.1065	9.9764	0.00239622	0.00902438	0.00902438
0.00106	21.3944	10.2366	0.00249728	0.00918747	0.00918747
0.00107	21.6861	10.5003	0.00260096	0.00935277	0.00935277
0.00108	21.9816	10.7676	0.0027073	0.00952033	0.00952033
0.00109	22.2809	11.0386	0.00281632	0.00969018	0.00969018
0.0011	22.5842	11.3132	0.00292808	0.00986233	0.00986233
0.00111	22.8914	11.5916	0.0030426	0.0100368	0.0100368
0.00112	23.2026	11.8738	0.00315992	0.0102137	0.0102137
0.00113	23.5178	12.1598	0.00328009	0.010393	0.010393
0.00114	23.8372	12.4497	0.00340313	0.0105747	0.0105747
0.00115	24.1607	12.7435	0.0035291	0.0107589	0.0107589
0.00116	24.4883	13.0413	0.00365802	0.0109455	0.0109455
0.00117	24.8202	13.3432	0.00378994	0.0111347	0.0111347
0.00118	25.1564	13.6491	0.00392489	0.0113265	0.0113265
0.00119	25.4969	13.9592	0.00406293	0.0115209	0.0115209
0.0012	25.8417	14.2735	0.00420409	0.0117179	0.0117179
0.00121	26.191	14.592	0.00434842	0.0119175	0.0119175
0.00122	26.5448	14.9148	0.00449595	0.0121199	0.0121199
0.00123	26.903	15.242	0.00464673	0.012325	0.012325
0.00124	27.2659	15.5736	0.0048008	0.0125328	0.0125328
0.00125	27.6334	15.9097	0.00495821	0.0127435	0.0127435
0.00126	28.0055	16.2503	0.00511901	0.012957	0.012957
0.00127	28.3824	16.5955	0.00528324	0.0131734	0.0131734
0.00128	28.764	16.9453	0.00545094	0.0133926	0.0133926
0.00129	29.1505	17.2999	0.00562216	0.0136149	0.0136149
0.0013	29.5418	17.6592	0.00579695	0.0138401	0.0138401
0.00131	29.9381	18.0233	0.00597536	0.0140683	0.0140683
0.00132	30.3393	18.3923	0.00615743	0.0142996	0.0142996
0.00133	30.7456	18.7662	0.00634322	0.014534	0.014534
0.00134	31.157	19.1452	0.00653277	0.0147715	0.0147715
0.00135	31.5735	19.5292	0.00672614	0.0150123	0.0150123
0.00136	31.9952	19.9183	0.00692337	0.0152562	0.0152562
0.00137	32.4221	20.3127	0.00712453	0.0155034	0.0155034
0.00138	32.8543	20.7123	0.00732965	0.0157538	0.0157538
0.00139	33.2919	21.1172	0.00753879	0.0160077	0.0160077
0.0014	33.7348	21.5275	0.00775201	0.0162648	0.0162648
0.00141	34.1833	21.9433	0.00796936	0.0165255	0.0165255
0.00142	34.6372	22.3646	0.00819089	0.0167895	0.0167895
0.00143	35.0967	22.7915	0.00841667	0.0170571	0.0170571
0.00144	35.5618	23.224	0.00864674	0.0173283	0.0173283
0.00145	36.0326	23.6623	0.00888117	0.017603	0.017603
0.00146	36.5091	24.1064	0.00912001	0.0178813	0.0178813
0.00147	36.9914	24.5563	0.00936331	0.0181634	0.0181634
0.00148	37.4796	25.0122	0.00961115	0.0184491	0.0184491
0.00149	37.9736	25.4741	0.00986358	0.0187387	0.0187387
0.0015	38.4735	25.9421	0.0101207	0.019032	0.019032
0.00151	38.9795	26.4163	0.0103824	0.0193292	0.0193292
