t	p	V	L	psi	z
0.0	5.0	0.0	0.0	0.0	0.0
1e-05	5.08075	0.0	0.0	4.42129e-05	4.42129e-05
2e-05	5.16282	0.0	0.0	8.91398e-05	8.91398e-05
3e-05	5.24621	0.0	0.0	0.000134792	0.000134792
4e-05	5.33096	0.0	0.0	0.000181183	0.000181183
5e-05	5.41708	0.0	0.0	0.000228322	0.000228322
6e-05	5.5046	0.0	0.0	0.000276223	0.000276223
7e-05	5.59354	0.0	0.0	0.000324898	0.000324898
8e-05	5.68392	0.0	0.0	0.00037436	0.00037436
9e-05	5.77577	0.0	0.0	0.00042462	0.00042462
0.0001	5.86912	0.0	0.0	0.000475693	0.000475693
0.00011	5.96398	0.0	0.0	0.000527592	0.000527592
0.00012	6.06038	0.0	0.0	0.000580329	0.000580329
0.00013	6.15834	0.0	0.0	0.000633919	0.000633919
0.00014	6.2579	0.0	0.0	0.000688375	0.000688375
0.00015	6.35908	0.0	0.0	0.000743711	0.000743711
0.00016	6.4619	0.0	0.0	0.000799942	0.000799942
0.00017	6.56639	0.0	0.0	0.000857083	0.000857083
0.00018	6.67259	0.0	0.0	0.000915147	0.000915147
0.00019	6.78051	0.0	0.0	0.000974151	0.000974151
0.0002	6.89018	0.0	0.0	0.00103411	0.00103411
0.00021	7.00164	0.0	0.0	0.00109504	0.00109504
0.00022	7.11491	0.0	0.0	0.00115695	0.00115695
0.00023	7.23003	0.0	0.0	0.00121986	0.00121986
0.00024	7.34702	0.0	0.0	0.0012838	0.0012838
0.00025	7.46591	0.0	0.0	0.00134877	0.00134877
0.00026	7.58675	0.0	0.0	0.00141478	0.00141478
0.00027	7.70955	0.0	0.0	0.00148187	0.00148187
0.00028	7.83435	0.0	0.0	0.00155005	0.00155005
0.00029	7.96118	0.0	0.0	0.00161932	0.00161932
0.0003	8.09008	0.0	0.0	0.00168972	0.00168972
0.00031	8.22108	0.0	0.0	0.00176126	0.00176126
0.00032	8.35422	0.0	0.0	0.00183396	0.00183396
0.00033	8.48953	0.0	0.0	0.00190783	0.00190783
0.00034	8.62705	0.0	0.0	0.0019829	0.0019829
0.00035	8.76681	0.0	0.0	0.00205919	0.00205919
0.00036	8.90886	0.0	0.0	0.00213671	0.00213671
0.00037	9.05322	0.0	0.0	0.00221549	0.00221549
0.00038	9.19994	0.0	0.0	0.00229555	0.00229555
0.00039	9.34905	0.0	0.0	0.0023769	0.0023769
0.0004	9.5006	0.0	0.0	0.00245957	0.00245957
